"correct","time_1","double_response","time_2"
TRUE,0.7396,FALSE,NA
TRUE,0.467,FALSE,NA
TRUE,0.8394,FALSE,NA
TRUE,0.7551,FALSE,NA
TRUE,0.5673,FALSE,NA
TRUE,0.5327,FALSE,NA
TRUE,0.5152,FALSE,NA
TRUE,0.7017,FALSE,NA
TRUE,0.5678,FALSE,NA
TRUE,1.0931,FALSE,NA
TRUE,0.4933,FALSE,NA
TRUE,0.6196,FALSE,NA
FALSE,0.6456,FALSE,NA
TRUE,0.4901,FALSE,NA
TRUE,0.782,FALSE,NA
TRUE,0.7515,FALSE,NA
TRUE,0.5305,FALSE,NA
TRUE,0.618,FALSE,NA
TRUE,1.1967,FALSE,NA
